Fecha;Día de la semana;Casos;test coresp;Nº de pacientes a los que se ha realizado pruebas;Tasa de positividad (%);Asintomáticos;Zaragoza;1 a 14 años;15 a 24 años;25 a 34 años;35 a 44 años;45 a 54 años;55 a 64 años;65 a 74 años;75 años o más;Camas Ocup;Camas libres;UCI ocupadas;UCI libres con resp;Alarma
27/10/21;3;;;;;;;;;;;;;;;;;
26/10/21;2;66;;;;67;49;;;;;;;;;;;
25/10/21;1;68;2404;0;2,83;78;42;11;2;5;15;16;9;6;3;67;1246;16;84;0
24/10/21;7;23;942;0;2,44;86;19;0;0;3;6;9;4;1;0;71;1399;17;91;0
23/10/21;6;39;514;;7,59;72;25;4;3;0;7;9;5;7;4;69;1186;14;73;0
22/10/21;5;58;1207;;4,81;62;41;6;1;6;10;11;8;8;8;69;1186;14;73;0
21/10/21;4;81;2119;;3,82;60;53;15;6;6;14;16;7;7;9;69;1186;14;73;0
20/10/21;3;72;2619;;2,75;56;56;14;8;5;14;11;9;6;5;67;1203;14;83;0
19/10/21;2;93;2649;;3,51;63;63;10;5;9;16;22;10;13;8;66;1237;15;89;0
18/10/21;1;87;2256;;3,86;75;70;15;2;10;17;17;13;6;6;68;1259;14;101;0
17/10/21;7;30;984;;3,05;80;25;5;1;2;6;4;3;2;6;64;1400;13;106;1
16/10/21;6;34;584;0;5,82;85;28;7;1;4;10;4;4;2;2;67;1293;13;88;1
15/10/21;5;74;1215;0;6,09;55;60;17;4;9;14;14;8;1;5;67;1293;13;88;1
14/10/21;4;54;1907;0;2,83;61;42;11;2;5;11;8;9;3;5;67;1293;13;88;1
13/10/21;3;57;1950;0;2,92;63;41;13;3;7;11;4;3;5;11;76;1338;13;95;1
12/10/21;2;26;921;0;2,82;85;21;4;0;1;8;2;3;2;6;72;1495;13;103;1
11/10/21;1;52;1104;0;4,71;75;38;7;6;9;8;6;4;3;9;73;1546;15;96;1
