TIME;GEO;SEX;AGE;UNIT;Value;Flag and Footnotes
2019;Galicia;Total;Total;Number;2700441;GA
2019;Principado de Asturias;Total;Total;Number;1022205;AS
2019;Cantabria;Total;Total;Number;581641;CB
2019;País Vasco;Total;Total;Number;2177880;PV
2019;Comunidad Foral de Navarra;Total;Total;Number;649946;NC
2019;La Rioja;Total;Total;Number;313571;RI
2019;Aragón;Total;Total;Number;1320586;AR
2019;Comunidad de Madrid;Total;Total;Number;6641649;MD
2019;Castilla y León;Total;Total;Number;2407733;CL
2019;Castilla-la Mancha;Total;Total;Number;2034877;CM
2019;Extremadura;Total;Total;Number;1065424;EX
2019;Cataluña;Total;Total;Number;7566431;CT
2019;Comunidad Valenciana;Total;Total;Number;4974969;VC
2019;Illes Balears;Total;Total;Number;1188220;IB
2019;Andalucía;Total;Total;Number;8427405;AN
2019;Región de Murcia;Total;Total;Number;1487663;MC
2019;Ciudad Autónoma de Ceuta (ES);Total;Total;Number;84829;CE
2019;Ciudad Autónoma de Melilla (ES);Total;Total;Number;84689;ML
2019;Canarias (ES);Total;Total;Number;2206901;CN
